accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.109,-0.9,-0.3,9.6
0.324,-1.0,0.7,9.4
0.599,-1.1,0.4,9.7
0.799,-1.0,0.1,9.6
1.015,-0.9,-0.1,9.4
1.199,-0.9,0.2,9.8
1.398,-1.4,-0.4,9.1
1.599,-2.2,-1.9,7.8
1.799,-4.6,-3.2,6.5
2.027,-9.1,-4.2,3.9
2.202,-10.9,-4.6,0.1
2.403,-8.9,-3.0,-0.3
2.605,-8.1,-1.2,-1.1
2.8,-9.3,0.4,-2.2
3.0,-10.1,1.0,-1.8
3.2,-10.9,1.2,-3.5
3.4,-8.9,-0.5,-1.9
3.6,-9.8,0.2,-0.3
3.824,-10.0,-2.9,0.3
3.996,-10.1,-1.1,2.7
4.214,-9.3,-2.0,1.2
4.407,-9.5,-3.1,2.4
4.618,-9.2,-2.8,3.0
4.801,-8.7,-1.7,3.5
5.026,-8.5,-2.0,4.2
5.201,-8.5,-3.7,4.6
5.401,-8.1,-2.7,5.1
5.607,-4.1,-6.1,4.1
5.807,-4.5,-2.6,4.7
6.029,-5.3,-5.3,6.3
6.224,-4.7,-2.7,8.4
6.402,-4.5,-3.7,7.6
6.63,-4.6,-3.6,7.7
6.799,-4.5,-3.7,7.7
7.028,-4.6,-4.0,7.8
7.225,-4.4,-3.9,7.7
7.429,-4.6,-4.0,7.6
7.604,-4.5,-4.1,7.5
7.833,-4.5,-4.1,7.6
8.044,-4.7,-4.1,7.5
8.226,-4.4,-4.2,7.5
8.445,-3.3,-4.2,7.2
8.602,-4.8,-4.2,7.0
8.85,-5.4,-4.0,7.2
9.026,-5.3,-6.7,5.4
9.24,-4.9,-6.3,4.8
9.428,-6.8,-5.8,3.4
9.628,-8.2,-4.7,1.8
9.832,-10.2,-5.2,-0.1
10.04,-8.8,-3.8,0.8
10.203,-8.9,-3.3,-1.5
10.433,-9.1,-3.2,0.5
10.628,-9.5,-4.2,1.3
10.921,-8.9,-2.9,5.5
11.121,-7.3,-2.6,6.3
11.328,-4.1,-1.3,7.6
11.521,-2.9,0.4,8.8
11.721,-2.8,1.3,9.2
11.921,-1.7,0.9,9.6
12.094,-1.6,1.0,9.4
12.342,-0.4,0.2,9.6
12.523,-2.0,0.1,9.7
12.699,-2.0,-0.1,9.5
12.9,-2.2,0.0,9.5
