accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.103,-1.5,0.5,7.6
0.2,-1.5,3.1,9.0
0.3,-2.2,3.0,8.6
0.401,-1.8,2.6,6.2
0.5,-3.4,0.1,3.5
0.6,-9.6,-2.9,3.8
0.7,-13.5,-4.1,2.0
0.8,-18.4,15.3,8.7
0.899,-7.8,-2.7,0.6
0.999,-9.5,-4.4,0.8
1.099,-10.1,-1.6,1.1
1.199,-10.5,-2.4,1.2
1.3,-9.4,5.1,1.0
1.399,-9.8,0.3,0.5
1.499,-9.4,-0.3,0.9
1.599,-9.1,0.3,2.8
1.699,-9.0,-2.9,2.9
1.814,-8.7,-2.9,3.6
1.901,-9.5,-3.0,3.0
2.008,-9.4,-3.1,2.7
2.101,-9.7,-4.0,1.8
2.204,-9.5,-4.8,1.3
2.31,-9.2,-4.8,1.3
2.4,-8.0,-5.2,1.3
2.504,-7.3,-6.2,0.3
2.601,-6.3,-7.3,-0.7
2.701,-5.8,-8.2,-2.1
2.801,-5.2,-8.8,-1.5
2.901,-4.6,-8.1,-1.1
3.001,-4.3,-7.9,-2.5
3.1,-5.0,-6.9,-0.3
3.202,-4.9,-9.7,-1.5
3.301,-4.3,-8.0,-2.7
3.4,-3.7,-9.4,-5.9
3.506,-4.1,-8.2,-7.0
3.602,-4.0,-6.8,-5.9
3.707,-4.5,-6.9,-6.5
3.831,-4.8,-4.1,-6.3
3.925,-4.9,-6.3,-6.3
4.004,-4.0,-7.5,-6.2
4.101,-4.6,-6.7,-5.1
4.212,-5.5,-6.2,-5.3
4.31,-4.8,-6.6,-6.1
4.406,-5.3,-5.5,-5.5
4.531,-4.7,-6.1,-6.2
4.615,-5.0,-5.6,-6.2
4.699,-4.7,-5.8,-6.1
4.801,-4.5,-6.1,-6.2
4.902,-4.5,-5.1,-7.0
5.006,-4.4,-5.7,-7.4
5.103,-4.6,-5.5,-8.1
5.203,-3.8,-5.7,-7.1
5.303,-3.4,-5.2,-7.5
5.405,-4.9,-5.6,-7.3
5.51,-5.2,-5.9,-7.2
5.603,-6.3,-5.4,-5.5
5.703,-7.5,-4.2,-3.5
5.807,-7.4,-4.3,-1.8
5.906,-7.9,-5.3,-1.3
6.01,-9.6,-4.8,-0.7
6.118,-11.2,-6.9,-2.1
6.203,-9.2,-5.8,-2.5
6.303,-8.2,-4.7,-2.0
6.403,-8.2,-4.2,0.7
6.515,-9.1,-2.9,2.3
6.603,-10.2,-3.5,4.0
6.707,-11.2,-1.8,3.9
6.806,-9.4,-1.6,2.3
6.924,-9.2,-2.1,0.9
7.01,-8.8,-2.2,0.6
7.104,-9.0,-2.3,0.4
7.209,-9.9,-2.4,0.4
7.324,-9.8,-2.4,0.7
7.409,-9.8,-2.2,0.6
7.504,-10.6,-2.6,0.1
7.609,-8.9,-3.3,0.4
7.704,-9.7,-2.7,0.6
7.81,-10.1,-2.4,0.9
7.911,-9.4,-2.2,1.0
8.017,-9.4,-1.8,1.2
8.109,-9.3,-2.4,1.9
8.208,-8.8,-3.7,3.0
8.398,-7.7,-5.7,1.9
8.498,-8.1,-7.0,0.6
8.597,-7.9,-8.3,-0.5
8.697,-8.6,-6.8,1.3
8.797,-7.5,-5.0,0.9
8.915,-4.7,-7.1,-0.1
9.002,-4.7,-1.9,-3.7
9.097,-6.1,-2.9,-4.5
9.197,-5.9,-6.0,-3.9
9.301,-5.1,-9.4,-4.9
9.397,-5.3,-6.8,-3.9
9.497,-5.1,-7.1,-4.7
9.601,-5.5,-7.4,-3.9
9.698,-5.2,-7.4,-3.3
9.797,-5.1,-8.0,-2.6
9.897,-5.2,-8.0,-1.9
9.997,-5.0,-8.0,-1.9
10.105,-4.7,-8.5,-1.6
10.204,-4.7,-8.5,-1.6
10.299,-4.7,-8.2,-1.7
10.399,-4.6,-8.1,-2.0
10.502,-4.4,-8.8,-1.5
10.599,-5.8,-7.4,-2.9
10.7,-5.3,-8.4,-1.4
10.802,-6.1,-2.8,-1.8
10.899,-7.2,-5.6,-1.9
10.999,-7.5,-6.6,3.1
11.099,-6.1,-7.7,5.4
11.2,-5.8,-9.8,6.0
11.303,-5.7,-8.4,4.4
11.399,-4.8,-7.9,4.2
11.498,-4.5,-6.3,6.0
11.6,-3.1,-3.0,7.9
11.701,-2.8,-1.6,7.4
11.798,-2.0,4.5,7.9
11.898,-1.8,4.7,7.4
12.046,-1.6,4.4,7.7
12.104,-1.4,4.4,8.1
12.207,-1.1,4.4,8.3
12.323,-1.0,4.2,8.2
12.402,-0.3,3.7,8.7
12.499,-0.1,3.9,8.9
12.6,-0.1,3.6,9.1
12.703,-0.4,3.4,9.2
12.818,-0.0,3.5,9.2
12.879,0.2,3.3,9.4
